0,3.7,0.5,0.5,0.2,0.5,0.2,0.1,0.5,0.2,0.4,0.2,0.4,3.7,1.9,1,0.9,1.8,1.2,0.6,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,37,5,5,2,5,2,1,5,2,4,2,4,37,19,10,9,18,12,6,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,3.7,0.5,0.5,0.2,0.5,0.2,0.1,0.5,0.2,0.4,0.2,0.4,3.7,1.9,1,0.9,1.8,1.2,0.6,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,37,5,5,2,5,2,1,5,2,4,2,4,37,19,10,9,18,12,6,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,3.7,0.5,0.5,0.2,0.5,0.2,0.1,0.5,0.2,0.4,0.2,0.4,3.7,1.9,1,0.9,1.8,1.2,0.6,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,37,5,5,2,5,2,1,5,2,4,2,4,37,19,10,9,18,12,6,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1800,3.7,0.5,0.5,0.2,0.5,0.2,0.1,0.5,0.2,0.4,0.2,0.4,3.7,1.9,1,0.9,1.8,1.2,0.6,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,37,5,5,2,5,2,1,5,2,4,2,4,37,19,10,9,18,12,6,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,3.7,0.5,0.5,0.2,0.5,0.2,0.1,0.5,0.2,0.4,0.2,0.4,3.7,1.9,1,0.9,1.8,1.2,0.6,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,37,5,5,2,5,2,1,5,2,4,2,4,37,19,10,9,18,12,6,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,3.7,0.5,0.5,0.2,0.5,0.2,0.1,0.5,0.2,0.4,0.2,0.4,3.7,1.9,1,0.9,1.8,1.2,0.6,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,37,5,5,2,5,2,1,5,2,4,2,4,37,19,10,9,18,12,6,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,3.3121,0.4266,0.4266,0.3022,0.4266,0.3022,0.1,0.4266,0.2,0.244,0.2133,0.244,3.3121,1.8842,0.8532,1.031,1.4279,0.9013,0.444,77.982,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.981,77.98,77.98,77.98,77.98,77.98,77.98,33.121,4.266,4.266,3.022,4.266,3.022,1,4.266,2,2.44,2.133,2.44,33.121,18.842,8.532,10.31,14.279,9.013,4.44,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,3.3121,0.4266,0.4266,0.3022,0.4266,0.3022,0.1,0.4266,0.2,0.244,0.2133,0.244,3.3121,1.8842,0.8532,1.031,1.4279,0.9013,0.444,77.982,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.981,77.98,77.98,77.98,77.98,77.98,77.98,33.121,4.266,4.266,3.022,4.266,3.022,1,4.266,2,2.44,2.133,2.44,33.121,18.842,8.532,10.31,14.279,9.013,4.44,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,3.3121,0.4266,0.4266,0.3022,0.4266,0.3022,0.1,0.4266,0.2,0.244,0.2133,0.244,3.3121,1.8842,0.8532,1.031,1.4279,0.9013,0.444,77.982,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.981,77.98,77.98,77.98,77.98,77.98,77.98,33.121,4.266,4.266,3.022,4.266,3.022,1,4.266,2,2.44,2.133,2.44,33.121,18.842,8.532,10.31,14.279,9.013,4.44,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,3.3121,0.4266,0.4266,0.3022,0.4266,0.3022,0.1,0.4266,0.2,0.244,0.2133,0.244,3.3121,1.8842,0.8532,1.031,1.4279,0.9013,0.444,77.982,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.98,77.981,77.98,77.98,77.98,77.98,77.98,77.98,33.121,4.266,4.266,3.022,4.266,3.022,1,4.266,2,2.44,2.133,2.44,33.121,18.842,8.532,10.31,14.279,9.013,4.44,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
