10200,2.5113,0.54375,0.8176,0.75,0.4,2.5113,1.15,1.3614,59.433,59.41,59.409,59.41,59.412,59.415,59.412,59.411,25.113,5.4375,8.176,7.5,4,25.113,11.5,13.614,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10800,2.8667,0.4758,1.039,0.9519,0.4,2.8667,1.3519,1.5148,59.399,59.37,59.368,59.369,59.371,59.375,59.372,59.371,28.667,4.758,10.39,9.519,4,28.667,13.519,15.148,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11400,2.8667,0.4758,1.039,0.9519,0.4,2.8667,1.3519,1.5148,59.399,59.37,59.368,59.369,59.371,59.375,59.372,59.371,28.667,4.758,10.39,9.519,4,28.667,13.519,15.148,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12000,2.8667,0.4758,1.039,0.9519,0.4,2.8667,1.3519,1.5148,59.399,59.37,59.368,59.369,59.371,59.375,59.372,59.371,28.667,4.758,10.39,9.519,4,28.667,13.519,15.148,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12600,2.8667,0.4758,1.039,0.9519,0.4,2.8667,1.3519,1.5148,59.399,59.37,59.368,59.369,59.371,59.375,59.372,59.371,28.667,4.758,10.39,9.519,4,28.667,13.519,15.148,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13200,2.8667,0.4758,1.039,0.9519,0.4,2.8667,1.3519,1.5148,59.399,59.37,59.368,59.369,59.371,59.375,59.372,59.371,28.667,4.758,10.39,9.519,4,28.667,13.519,15.148,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13800,2.8667,0.4758,1.039,0.9519,0.4,2.8667,1.3519,1.5148,59.399,59.37,59.368,59.369,59.371,59.375,59.372,59.371,28.667,4.758,10.39,9.519,4,28.667,13.519,15.148,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14400,3.3184,0.45,1.2684,1.2,0.4,3.3184,1.6,1.7184,58.81,58.773,58.769,58.77,58.774,58.779,58.775,58.774,33.184,4.5,12.684,12,4,33.184,16,17.184,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15000,3.3184,0.45,1.2684,1.2,0.4,3.3184,1.6,1.7184,58.81,58.773,58.769,58.77,58.774,58.779,58.775,58.774,33.184,4.5,12.684,12,4,33.184,16,17.184,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15600,3.3184,0.45,1.2684,1.2,0.4,3.3184,1.6,1.7184,58.81,58.773,58.769,58.77,58.774,58.779,58.775,58.774,33.184,4.5,12.684,12,4,33.184,16,17.184,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
